Key,Speaker,English,French,Italien
DIALOGUE_TEST_001,<sketchy>Sonny,Yo I'm <wave> Sonny! </>,Texte Français,Testo Italiano
DIALOGUE_TEST_002,<jump>Trilili,Hiya! I'm <jump> Trilili! </>,Texte Français,Testo Italiano
DIALOGUE_TEST_003,<sketchy>Sonny,lol don't care didn't ask,,
Fisherman,,,,
FISHERMAN_DIALOG_001,<sketchy>Sonny,Hey old man! Help me out I'm a freaking fish now!,,
FISHERMAN_DIALOG_002,<sketchy>Old Fisherman,Haha <wave> talking fish  </>good one!,,
FISHERMAN_DIALOG_003,<sketchy>Sonny,Dude,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Volcanino,,,,
VOLCANINO_DIALOG_001,<sketchy>Sonny,Hellooo ? Can you hear me ?,,
VOLCANINO_DIALOG_002,<jump>Volcanino,...,,
VOLCANINO_DIALOG_003,<sketchy>Sonny,HELLO !!!!?,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Abilities,,,,
ABILITY_GRIND_DIALOG_001,<wave>My Mind,Congratulations.,,
ABILITY_GRIND_DIALOG_002,<wave>My Mind,"You just obtained the ""Grinders""",,
ABILITY_GRIND_DIALOG_003,<wave>My Mind,"You can now interact with grind rails and slide on them, just go inside one to test it out.",,
ABILITY_GRIND_DIALOG_004,<wave>My Mind,You can also perform side dash to rapidly reposition and/or enter rails.,,
